"","time","BG","CGM","CHO","HBGI","LBGI","insulin"
"10223",10223,134.005277763858,129.773141749095,0,1.06409936613856,0,0.00265
"10224",10224,133.17954751126,128.940175120851,0,0.990057862277938,0,0.00265
"10225",10225,132.389150955268,128.471102043294,0,0.921283874036449,0,0.00265
"10226",10226,131.633518760863,128.410767767814,0,0.857490824267811,0,0.00265
"10227",10227,130.91205525634,128.561946486028,0,0.798398959059567,0,0.00265
"10228",10228,130.224144180542,128.673602634093,0,0.743736475574931,0,0.00265
"10229",10229,129.569153910031,128.49468356345,0,0.693240456127954,0,0.00265
"10230",10230,128.946442101274,127.804463053911,0,0.646657618147725,0,0.00265
"10231",10231,128.355359741803,126.564238930758,0,0.603744895315691,0,0.00265
"10232",10232,127.795254638389,125.008352760754,0,0.564269867508388,0,0.00265
"10233",10233,127.265474388132,123.431822277375,0,0.528011057550832,0,0.00265
"10234",10234,126.765368885976,122.129666693276,0,0.494758112042965,0,0.00265
"10235",10235,126.294292423558,121.369092301595,0,0.46431188220596,0,0.00265
"10236",10236,125.851605432004,121.250411176943,0,0.436484419142867,0,0.00265
"10237",10237,125.436675917213,121.623592816282,0,0.411098896315463,0,0.00265
"10238",10238,125.048880631192,122.282981818558,0,0.387989470516066,0,0.00265
"10239",10239,124.687606017846,123.022932167664,0,0.36700109121329,0,0.00265
"10240",10240,124.352248966728,123.653872225223,0,0.347989266896309,0,0.00265
"10241",10241,124.042217403649,124.082626255766,0,0.33081979593457,0,0.00265
"10242",10242,123.756930742998,124.360607453001,0,0.315368468501635,0,0.00265
"10243",10243,123.495820223012,124.571369079538,0,0.301520745269715,0,0.00265
"10244",10244,123.258329142143,124.798476383057,0,0.289171417850271,0,0.00265
"10245",10245,123.04391301199,125.125506776483,0,0.278224255322198,0,0.00265
"10246",10246,122.852039640017,125.636049943612,0,0.26859164063807,0,0.00265
"10247",10247,122.682189153331,126.413707882134,0,0.260194200219493,0,0.00265
"10248",10248,122.53385397324,127.54209489423,0,0.252960429633903,0,0.00265
"10249",10249,122.406538748911,129.104837533559,0,0.246826317878991,0,0.00265
"10250",10250,122.299760257413,131.213625770956,0,0.24173497247954,0,0.00265
"10251",10251,122.213047276481,133.250292092801,0,0.237636247319572,0,0.00265
"10252",10252,122.145940435671,133.86160466805,0,0.234486374885041,0,0.00265
"10253",10253,122.09799205102,133.368079120428,0,0.232247604376074,0,0.00265
"10254",10254,122.068765947982,132.09024264253,0,0.230887846959593,0,0.00265
"10255",10255,122.057837277194,130.348633813811,0,0.230380329272301,0,0.00265
"10256",10256,122.064792327648,128.463802414455,0,0.230703256149059,0,0.00265
"10257",10257,122.089228342003,126.7563092398,0,0.231839483443921,0,0.00265
"10258",10258,122.130753339216,125.546725920341,0,0.233776201730455,0,0.00265
"10259",10259,122.188985950296,125.155634752894,0,0.236504631616843,0,0.00265
"10260",10260,122.263555273852,125.862573114282,0,0.240019731388365,0,0.00265
"10261",10261,122.354100758957,127.700756159723,20,0.244319917689395,0,0.00265
"10262",10262,122.460518389562,130.334122053166,0,0.249418654928253,0,4.31229166666667
"10263",10263,122.590223604409,133.349465525608,0,0.255698371046145,0,0.00265
"10264",10264,122.783791066803,136.356878390182,0,0.265202764286405,0,0.00265
"10265",10265,123.132714431305,139.041104907502,0,0.282734715497176,0,0.00265
"10266",10266,123.774412664102,141.308628857884,0,0.316305669334454,0,0.00265
"10267",10267,124.870397517079,143.357616110581,0,0.377554950980344,0,0.00265
"10268",10268,126.563686953276,145.441081053108,0,0.481618483907544,0,0.00265
"10269",10269,128.9447328944,147.770028428752,0,0.646531689195863,0,0.00265
"10270",10270,132.042773092712,150.491235788209,0,0.891801989087296,0,0.00265
"10271",10271,135.831940618482,153.664681441144,0,1.23564302076042,0,0.00265
"10272",10272,140.243352400385,157.259367071602,0,1.69160750055356,0,0.00265
"10273",10273,145.178451874672,161.200423968694,0,2.26585219247764,0,0.00265
"10274",10274,150.521269364081,165.391532990385,0,2.95588190489036,0,0.00265
"10275",10275,156.148487077972,169.728288580436,0,3.75089551956539,0,0.00265
"10276",10276,161.936535702826,174.119136665999,0,4.63324226752235,0,0.00265
"10277",10277,167.767993879307,178.499376244769,0,5.58070021530114,0,0.00265
"10278",10278,173.536203956797,182.818771512719,0,6.56889454524568,0,0.00265
"10279",10279,179.147450860318,187.039375183754,0,7.573296565322,0,0.00265
"10280",10280,184.521950579071,191.130290387311,0,8.57074445705427,0,0.00265
"10281",10281,189.593987105812,195.035116545735,0,9.54046724391465,0,0.00265
"10282",10282,194.311439738943,198.651892294269,0,10.4646686695763,0,0.00265
"10283",10283,198.634898889869,201.878491266276,0,11.3287627107009,0,0.00265
"10284",10284,202.536526979521,204.624747954258,0,12.1213570198266,0,0.00265
"10285",10285,205.998784278358,206.819797937887,0,12.8340693517756,0,0.00265
"10286",10286,209.013108538322,208.453638473813,0,13.4612448260666,0,0.00265
"10287",10287,211.578611950894,209.601538646575,0,13.9996243180872,0,0.00265
"10288",10288,213.700838849231,210.362758931432,0,14.4479989872166,0,0.00265
"10289",10289,215.390611967878,210.842219414798,0,14.8068738018742,0,0.00265
"10290",10290,216.662983250545,211.143611916969,0,15.0781538510671,0,0.00265
"10291",10291,217.536296460075,211.339408747322,0,15.264860787507,0,0.00265
"10292",10292,218.03136257373,211.452590680299,0,15.3708823715986,0,0.00265
"10293",10293,218.170744607067,211.496518311805,0,15.40075525463,0,0.00265
"10294",10294,217.978145654841,211.48589246819,0,15.35947941584,0,0.00265
"10295",10295,217.477892202954,211.436206061766,0,15.2523617108382,0,0.00265
"10296",10296,216.694503859146,211.363285347614,0,15.0848855443772,0,0.00265
"10297",10297,215.652340341011,211.282911501585,0,14.8626035662577,0,0.00265
"10298",10298,214.375316668806,211.210513415522,0,14.5910503776241,0,0.00265
"10299",10299,212.886677900025,211.160922906706,0,14.2756724391227,0,0.00265
"10300",10300,211.208825309584,208.874570367504,0,13.9217726346967,0,0.00265
"10301",10301,209.363186587,202.419470129394,0,13.5344672280097,0,0.00265
"10302",10302,207.370123334916,196.956442503779,0,13.1186532296766,0,0.00265
"10303",10303,205.248869872319,192.329911995498,0,12.6789844591888,0,0.00265
"10304",10304,203.017498044267,188.383151407716,0,12.2198548285551,0,0.00265
"10305",10305,200.692903400396,184.958261068846,0,11.7453875922112,0,0.00265
"10306",10306,198.290808716469,181.896166721741,0,11.2594294991895,0,0.00265
"10307",10307,195.825781391479,179.036632423569,0,10.7655489499235,0,0.00265
"10308",10308,193.311261755395,176.21828532605,0,10.2670374032566,0,0.00265
"10309",10309,190.759599770382,173.278649671644,0,9.76691340149953,0,0.00265
"10310",10310,188.182095565059,170.079918078219,0,9.26792821612344,0,0.00265
"10311",10311,185.588880324506,166.63755632065,0,8.77254204344885,0,0.00265
"10312",10312,182.988749079901,163.197357702183,0,8.28289472408703,0,0.00265
"10313",10313,180.389674708332,160.055537450905,0,7.80090666320594,0,0.00265
"10314",10314,177.798961302757,157.507625180878,0,7.32830740224762,0,0.00265
"10315",10315,175.223241056263,155.807682470037,0,6.86663476387821,0,0.00265
"10316",10316,172.668488752031,154.964328381472,0,6.41723823806728,0,0.00265
"10317",10317,170.140047898504,154.618372186928,0,5.98128525787491,0,0.00265
"10318",10318,167.642663638634,154.328420386032,0,5.55976928579621,0,0.00265
"10319",10319,165.18051926723,153.652505332243,0,5.15351899882847,0,0.00265
"10320",10320,162.757274295665,152.194765628166,0,4.76320809778921,0,0.00265
"10321",10321,160.376102723918,149.838698240623,5,4.38936542079168,0,0.00265
"10322",10322,158.039949680376,146.88731635788,0,4.03241813574258,0,1.48126666666667
"10323",10323,155.758498078997,143.741174123927,0,3.69371054523897,0,0.00265
"10324",10324,153.566994731451,140.818882857166,0,3.37801771522336,0,0.00265
"10325",10325,151.518871805134,138.521387106917,0,3.09195451912582,0,0.00265
"10326",10326,149.662839397005,137.010273164393,0,2.84055349407905,0,0.00265
"10327",10327,148.03155656582,136.070585934149,0,2.62600064459963,0,0.00265
"10328",10328,146.639196201342,135.388569472448,0,2.4477871091153,0,0.00265
"10329",10329,145.483292613988,134.633069453015,0,2.30338638601957,0,0.00265
"10330",10330,144.548300808716,133.51005326829,0,2.18899984079019,0,0.00265
"10331",10331,143.80950477811,132.023660830978,0,2.10017740610535,0,0.00265
"10332",10332,143.23660503034,130.63424888743,0,2.03226517500579,0,0.00265
"10333",10333,142.796705692485,129.901490572236,0,1.98069881880646,0,0.00265
"10334",10334,142.456632923264,130.384033717639,0,1.94118320385985,0,0.00265
"10335",10335,142.184623394054,132.567440863806,0,1.90979703486567,0,0.00265
"10336",10336,141.951468977947,136.495728806356,0,1.88305132216174,0,0.00265
"10337",10337,141.731218238803,141.550344184713,0,1.85791976523837,0,0.00265
"10338",10338,141.501532586753,146.968327258602,0,1.83185097828454,0,0.00265
"10339",10339,141.243784171008,151.990405843717,0,1.80276743604033,0,0.00265
"10340",10340,140.942968831491,155.912131012316,0,1.76905348827167,0,0.00265
"10341",10341,140.587493473569,158.339523213295,0,1.72953387455918,0,0.00265
"10342",10342,140.168884425857,159.342296703591,0,1.68344408236467,0,0.00265
"10343",10343,139.681452259842,159.095390879253,0,1.63039409650607,0,0.00265
"10344",10344,139.121939326785,157.776294985807,0,1.57032729120085,0,0.00265
"10345",10345,138.489168810746,155.564695982198,0,1.50347629277781,0,0.00265
"10346",10346,137.78370821111,152.642136745784,0,1.43031757103846,0,0.00265
"10347",10347,137.007555621885,149.191694451514,0,1.35152632905321,0,0.00265
"10348",10348,136.163853737353,145.397685159865,0,1.26793299999835,0,0.00265
"10349",10349,135.256633972471,141.445397816054,0,1.18048236851531,0,0.00265
"10350",10350,134.290591256861,139.089825529794,0,1.0901960463053,0,0.00265
"10351",10351,133.270888786823,139.927398248882,0,0.998138769235378,0,0.00265
"10352",10352,132.202991171648,140.609263943238,0,0.905388758140189,0,0.00265
"10353",10353,131.092523884003,141.08361680872,0,0.813012202220847,0,0.00265
